fighter_1,fighter_2,knockdowns_1,knockdowns_2,total_strikes_1,total_strikes_2,significant_strikes_1,significant_strikes_2,head_strikes_1,head_strikes_2,body_strikes_1,body_strikes_2,leg_strikes_1,leg_strikes_2,distance_strikes_1,distance_strikes_2,clinch_strikes_1,clinch_strikes_2,ground_strikes_1,ground_strikes_2,takedowns_1,takedowns_2,submission_attempts_1,submission_attempts_2,reversals_1,reversals_2,control_time_1,control_time_2,result,method,round,time,referee,ufc_stats_com_url
Alexa Grasso,Tatiana Suarez,0,0,21 of 23,4 of 11,6 of 8,2 of 9,4 of 5,1 of 7,2 of 3,0 of 1,0 of 0,1 of 1,0 of 2,1 of 8,4 of 4,0 of 0,2 of 2,1 of 1,0 of 0,2 of 3,0,1,0,0,0:00,1:41,L,Submission,1,2:44,Camila Albuquerque,http://ufcstats.com/fight-details/24f2d2dd9fea5d79
Jared Cannonier,Dominick Reyes,0,1,10 of 26,21 of 53,6 of 21,20 of 52,4 of 18,7 of 33,0 of 1,5 of 11,2 of 2,8 of 8,6 of 20,19 of 49,0 of 1,1 of 3,0 of 0,0 of 0,0 of 0,0 of 1,0,0,0,0,0:00,0:00,L,KO/TKO,1,2:55,Marc Goddard,http://ufcstats.com/fight-details/1290d7eb0fefd3f3
Diego Rivas,Guido Cannetti,0,0,26 of 50,44 of 75,22 of 46,25 of 53,10 of 23,12 of 35,7 of 17,6 of 11,5 of 6,7 of 7,8 of 31,10 of 32,13 of 14,7 of 12,1 of 1,8 of 9,2 of 5,1 of 3,1,1,0,1,3:03,5:56,L,Decision - Unanimous,3,5:00,Leon Roberts,http://ufcstats.com/fight-details/db8887f2085f7971
Veronica Hardy,Andrea Lee,0,0,42 of 100,87 of 131,24 of 73,56 of 93,17 of 60,17 of 37,3 of 7,24 of 29,4 of 6,15 of 27,19 of 57,15 of 40,4 of 6,26 of 28,1 of 10,15 of 25,1 of 1,3 of 5,1,2,0,0,1:43,8:04,L,Decision - Unanimous,3,5:00,Camila Albuquerque,http://ufcstats.com/fight-details/6222cdc86b12d251
Vicente Luque,Chad Laprise,1,0,14 of 35,14 of 30,14 of 35,13 of 29,9 of 26,6 of 21,1 of 3,3 of 3,4 of 6,4 of 5,10 of 30,9 of 25,1 of 1,4 of 4,3 of 4,0 of 0,0 of 0,0 of 1,0,0,0,0,0:00,0:51,W,KO/TKO,1,4:16,Marc Goddard,http://ufcstats.com/fight-details/47c140debc977214
Zak Cummings,Michel Prazeres,0,0,62 of 128,32 of 78,28 of 92,30 of 76,12 of 64,20 of 59,11 of 21,4 of 7,5 of 7,6 of 10,15 of 74,29 of 72,13 of 18,1 of 4,0 of 0,0 of 0,0 of 0,3 of 9,0,0,0,0,2:13,2:44,L,Decision - Split,3,5:00,,http://ufcstats.com/fight-details/df0d4130944776d9
Brandon Moreno,Alexandre Pantoja,0,0,50 of 140,96 of 187,45 of 133,79 of 168,32 of 113,58 of 133,4 of 5,7 of 17,9 of 15,14 of 18,43 of 126,69 of 154,2 of 7,3 of 6,0 of 0,7 of 8,2 of 7,0 of 0,0,0,0,0,0:16,1:12,L,Decision - Unanimous,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/49b47b5b5f15c7c0
Poliana Botelho,Syuri Kondo,1,0,9 of 13,2 of 3,9 of 13,2 of 3,7 of 10,0 of 1,1 of 2,0 of 0,1 of 1,2 of 2,3 of 6,2 of 3,0 of 0,0 of 0,6 of 7,0 of 0,0 of 0,0 of 0,0,0,0,0,0:05,0:00,W,KO/TKO,1,0:33,Camila Albuquerque,http://ufcstats.com/fight-details/c571ac76ca45c1cb
Gabriel Benitez,Humberto Bandenay,1,0,9 of 19,2 of 2,9 of 19,2 of 2,7 of 17,1 of 1,1 of 1,0 of 0,1 of 1,1 of 1,2 of 6,2 of 2,0 of 0,0 of 0,7 of 13,0 of 0,1 of 1,0 of 0,0,1,0,0,0:24,0:00,W,KO/TKO,1,0:39,Osiris Maia,http://ufcstats.com/fight-details/79c22394d9c2144d
Enrique Barzola,Brandon Davis,0,0,89 of 149,39 of 102,51 of 94,29 of 87,33 of 72,18 of 72,5 of 9,2 of 4,13 of 13,9 of 11,27 of 59,28 of 85,5 of 9,1 of 1,19 of 26,0 of 1,10 of 15,0 of 1,1,0,0,0,7:13,0:53,W,Decision - Unanimous,3,5:00,Leon Roberts,http://ufcstats.com/fight-details/53febf2fb416f9de
Henry Briones,Frankie Saenz,0,1,58 of 123,84 of 138,44 of 104,66 of 120,25 of 82,36 of 81,10 of 13,18 of 22,9 of 9,12 of 17,40 of 98,40 of 84,4 of 6,16 of 19,0 of 0,10 of 17,0 of 0,4 of 10,1,0,0,0,0:08,4:10,L,Decision - Unanimous,3,5:00,,http://ufcstats.com/fight-details/e6fdf9e67f84a0e0
Claudio Puelles,Felipe Silva,0,1,16 of 49,103 of 171,16 of 49,70 of 130,11 of 41,48 of 101,3 of 6,12 of 17,2 of 2,10 of 12,12 of 44,30 of 75,0 of 0,4 of 6,4 of 5,36 of 49,2 of 7,1 of 1,1,0,0,0,1:28,2:52,W,Submission,3,2:23,Osiris Maia,http://ufcstats.com/fight-details/866b2c2e354aa27b
Amanda Nunes,Raquel Pennington,0,0,152 of 288,79 of 186,124 of 254,64 of 169,72 of 171,49 of 148,31 of 46,10 of 15,21 of 37,5 of 6,96 of 219,56 of 160,15 of 19,7 of 8,13 of 16,1 of 1,3 of 4,1 of 8,0,0,0,0,4:29,2:13,W,KO/TKO,5,2:36,Marc Goddard,http://ufcstats.com/fight-details/3454f5c7203467aa
Jacare Souza,Kelvin Gastelum,0,1,78 of 129,57 of 149,64 of 115,53 of 145,42 of 84,44 of 133,21 of 30,7 of 10,1 of 1,2 of 2,42 of 90,41 of 125,8 of 11,9 of 10,14 of 14,3 of 10,1 of 9,0 of 0,1,0,1,0,3:28,0:35,L,Decision - Split,3,5:00,Leon Roberts,http://ufcstats.com/fight-details/d86e31793564cd31
Mackenzie Dern,Amanda Cooper,1,0,16 of 33,6 of 25,15 of 32,6 of 25,14 of 30,5 of 24,1 of 2,0 of 0,0 of 0,1 of 1,9 of 24,6 of 25,0 of 0,0 of 0,6 of 8,0 of 0,0 of 0,0 of 0,1,0,0,0,0:09,0:00,W,Submission,1,2:27,Osiris Maia,http://ufcstats.com/fight-details/7ec70261afdecda8
John Lineker,Brian Kelleher,2,0,113 of 244,58 of 147,102 of 233,50 of 137,65 of 173,41 of 112,31 of 49,6 of 19,6 of 11,3 of 6,89 of 211,46 of 132,7 of 12,3 of 4,6 of 10,1 of 1,0 of 0,1 of 6,1,0,0,0,1:07,0:43,W,KO/TKO,3,3:43,Leon Roberts,http://ufcstats.com/fight-details/b152646345037056
Vitor Belfort,Lyoto Machida,0,1,2 of 12,11 of 22,2 of 12,11 of 22,2 of 11,2 of 8,0 of 1,7 of 11,0 of 0,2 of 3,2 of 12,11 of 22,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0,0,0:00,0:00,L,KO/TKO,2,1:00,Marc Goddard,http://ufcstats.com/fight-details/7072a324a82c4297
Cezar Ferreira,Karl Roberson,0,0,14 of 16,20 of 26,5 of 6,4 of 6,4 of 5,3 of 5,1 of 1,0 of 0,0 of 0,1 of 1,1 of 1,1 of 3,0 of 0,2 of 2,4 of 5,1 of 1,2 of 3,0 of 0,1,0,0,0,4:20,0:00,W,Submission,1,4:45,Fernando Portella,http://ufcstats.com/fight-details/c8fdd3f7178fbfa4
Aleksei Oleinik,Junior Albini,0,0,10 of 17,10 of 15,10 of 17,10 of 15,6 of 12,7 of 11,2 of 3,2 of 3,2 of 2,1 of 1,10 of 17,9 of 13,0 of 0,1 of 2,0 of 0,0 of 0,0 of 3,1 of 1,1,0,0,0,0:15,0:12,W,Submission,1,1:45,Leon Roberts,http://ufcstats.com/fight-details/3dcb1a7b081afbe1
Davi Ramos,Nick Hein,0,0,13 of 21,1 of 6,6 of 12,1 of 6,5 of 9,1 of 6,1 of 3,0 of 0,0 of 0,0 of 0,5 of 11,1 of 6,0 of 0,0 of 0,1 of 1,0 of 0,1 of 1,0 of 0,1,0,0,0,2:10,0:07,W,Submission,1,4:15,Osiris Maia,http://ufcstats.com/fight-details/5ea39e0fc3b64e83
Elizeu Zaleski dos Santos,Sean Strickland,1,0,18 of 63,14 of 36,15 of 58,14 of 36,9 of 41,13 of 35,2 of 8,0 of 0,4 of 9,1 of 1,9 of 45,13 of 35,0 of 0,1 of 1,6 of 13,0 of 0,0 of 1,0 of 0,0,0,0,0,0:06,0:00,W,KO/TKO,1,3:40,Fernando Portella,http://ufcstats.com/fight-details/6b325792b8fb1f46
Warlley Alves,Sultan Aliev,0,0,54 of 78,14 of 30,29 of 50,12 of 28,7 of 20,10 of 24,12 of 19,2 of 4,10 of 11,0 of 0,10 of 28,7 of 21,19 of 22,5 of 7,0 of 0,0 of 0,0 of 1,1 of 3,0,0,0,0,3:24,2:07,W,TKO - Doctor's Stoppage,2,5:00,Osiris Maia,http://ufcstats.com/fight-details/25da6035f591c245
Thales Leites,Jack Hermansson,0,0,20 of 27,49 of 71,11 of 17,35 of 56,5 of 11,25 of 43,1 of 1,4 of 6,5 of 5,6 of 7,6 of 9,14 of 30,1 of 1,2 of 2,4 of 7,19 of 24,3 of 9,3 of 3,3,1,0,0,7:41,2:06,L,KO/TKO,3,2:10,Marc Goddard,http://ufcstats.com/fight-details/014f7dc96c90c199
Alberto Mina,Ramazan Emeev,0,0,16 of 87,54 of 100,12 of 82,39 of 84,5 of 65,28 of 67,3 of 11,8 of 14,4 of 6,3 of 3,11 of 79,24 of 57,1 of 2,4 of 9,0 of 1,11 of 18,1 of 5,3 of 6,0,0,0,0,0:05,5:06,L,Decision - Unanimous,3,5:00,Eduardo Herdy,http://ufcstats.com/fight-details/53d6a7634c7fc036
Markus Perez,James Bochnovic,0,0,13 of 16,4 of 8,4 of 4,3 of 6,3 of 3,1 of 3,1 of 1,2 of 3,0 of 0,0 of 0,0 of 0,1 of 3,1 of 1,1 of 2,3 of 3,1 of 1,1 of 1,0 of 1,2,0,0,0,3:17,0:59,W,Submission,1,4:28,Fernando Portella,http://ufcstats.com/fight-details/5f1a828f8d4c3b01
Edson Barboza,Kevin Lee,0,0,64 of 119,233 of 344,51 of 106,142 of 241,26 of 73,138 of 236,20 of 26,3 of 4,5 of 7,1 of 1,47 of 102,46 of 122,2 of 2,0 of 0,2 of 2,96 of 119,0 of 1,4 of 9,0,0,0,0,0:10,15:01,L,TKO - Doctor's Stoppage,5,2:18,Keith Peterson,http://ufcstats.com/fight-details/dbb0ca0198ac514a
Frankie Edgar,Cub Swanson,0,0,60 of 139,50 of 132,58 of 136,48 of 130,33 of 106,32 of 110,6 of 10,11 of 15,19 of 20,5 of 5,52 of 126,42 of 122,6 of 10,6 of 8,0 of 0,0 of 0,0 of 8,0 of 0,0,0,0,0,0:51,0:00,W,Decision - Unanimous,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/6d8ce1abde550bc6
Justin Willis,Chase Sherman,1,0,118 of 153,112 of 180,76 of 109,69 of 137,68 of 101,34 of 90,8 of 8,24 of 33,0 of 0,11 of 14,53 of 82,53 of 120,6 of 7,15 of 16,17 of 20,1 of 1,1 of 2,0 of 0,0,0,0,0,3:00,2:02,W,Decision - Unanimous,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/bef2a2e68fb4dfa8
David Branch,Thiago Santos,1,0,5 of 15,14 of 29,5 of 15,14 of 29,5 of 14,4 of 17,0 of 1,2 of 3,0 of 0,8 of 9,1 of 11,14 of 29,0 of 0,0 of 0,4 of 4,0 of 0,0 of 1,0 of 0,0,0,0,0,0:02,0:00,W,KO/TKO,1,2:30,Gary Copeland,http://ufcstats.com/fight-details/62aab95c866a9c5b
Aljamain Sterling,Brett Johns,0,0,117 of 181,56 of 119,89 of 152,27 of 89,40 of 88,23 of 79,37 of 51,4 of 8,12 of 13,0 of 2,53 of 103,17 of 76,26 of 32,10 of 13,10 of 17,0 of 0,3 of 9,1 of 5,0,0,1,0,1:22,6:31,W,Decision - Unanimous,3,5:00,Liam Kerrigan,http://ufcstats.com/fight-details/6dd0874dec826397
Jim Miller,Dan Hooker,0,1,13 of 23,24 of 44,10 of 20,24 of 44,6 of 16,15 of 33,2 of 2,4 of 4,2 of 2,5 of 7,8 of 17,23 of 43,2 of 3,0 of 0,0 of 0,1 of 1,1 of 2,0 of 0,0,0,0,0,0:27,0:13,L,KO/TKO,1,3:00,Gary Copeland,http://ufcstats.com/fight-details/0f88658e787815c8
Ryan LaFlare,Alex Garcia,0,0,47 of 71,21 of 66,24 of 48,11 of 54,5 of 27,6 of 46,17 of 19,4 of 7,2 of 2,1 of 1,17 of 38,7 of 46,3 of 6,3 of 7,4 of 4,1 of 1,1 of 6,5 of 7,0,0,1,0,4:28,4:06,W,Decision - Unanimous,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/ef86720364837f68
Merab Dvalishvili,Ricky Simon,1,0,82 of 233,38 of 108,61 of 210,34 of 103,42 of 185,25 of 91,8 of 12,6 of 9,11 of 13,3 of 3,56 of 194,28 of 95,5 of 15,5 of 7,0 of 1,1 of 1,6 of 22,2 of 7,0,1,0,1,2:42,2:46,L,Submission,3,5:00,Liam Kerrigan,http://ufcstats.com/fight-details/a017d5806eaa6018
Siyar Bahadurzada,Luan Chagas,1,0,61 of 94,31 of 58,33 of 64,11 of 37,20 of 51,7 of 26,9 of 9,1 of 6,4 of 4,3 of 5,24 of 52,9 of 34,2 of 3,1 of 1,7 of 9,1 of 2,1 of 1,0 of 1,0,0,0,1,1:40,2:34,W,KO/TKO,2,2:40,Gary Copeland,http://ufcstats.com/fight-details/dbed6292db8b0212
Corey Anderson,Patrick Cummins,0,0,99 of 162,44 of 113,64 of 119,31 of 99,56 of 107,24 of 85,6 of 10,6 of 12,2 of 2,1 of 2,38 of 85,18 of 79,16 of 22,12 of 19,10 of 12,1 of 1,12 of 13,0 of 1,0,0,0,0,8:02,0:30,W,Decision - Unanimous,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/a22add1024153ddb
Anthony Rocco Martin,Keita Nakamura,0,0,65 of 142,26 of 85,56 of 133,24 of 83,48 of 124,16 of 70,5 of 6,6 of 9,3 of 3,2 of 4,49 of 121,23 of 82,4 of 9,1 of 1,3 of 3,0 of 0,0 of 0,2 of 5,2,0,1,0,0:32,1:38,W,Decision - Unanimous,3,5:00,Liam Kerrigan,http://ufcstats.com/fight-details/d2b5ce5548b71668
Dustin Poirier,Justin Gaethje,0,0,179 of 357,116 of 213,174 of 351,115 of 212,142 of 314,56 of 143,21 of 26,9 of 12,11 of 11,50 of 57,162 of 338,98 of 194,12 of 13,17 of 18,0 of 0,0 of 0,0 of 5,0 of 0,0,0,0,0,0:06,1:04,W,KO/TKO,4,0:33,Herb Dean,http://ufcstats.com/fight-details/bfae2fb50efbdb0f
Carlos Condit,Alex Oliveira,0,0,42 of 49,22 of 37,12 of 18,9 of 23,6 of 12,8 of 22,2 of 2,1 of 1,4 of 4,0 of 0,6 of 11,1 of 8,0 of 0,0 of 0,6 of 7,8 of 15,1 of 1,3 of 3,1,1,1,0,2:51,3:44,L,Submission,2,3:17,Chris Tognoni,http://ufcstats.com/fight-details/e18a8b333529cc09
Israel Adesanya,Marvin Vettori,0,0,67 of 134,60 of 169,57 of 123,46 of 154,31 of 92,20 of 122,11 of 12,7 of 8,15 of 19,19 of 24,57 of 123,44 of 152,0 of 0,2 of 2,0 of 0,0 of 0,0 of 1,2 of 6,0,0,0,0,0:00,3:18,W,Decision - Split,3,5:00,Herb Dean,http://ufcstats.com/fight-details/b8b9a8e504d51ba5
Michelle Waterson-Gomez,Cortney Casey,0,0,77 of 103,64 of 126,61 of 84,36 of 96,30 of 49,22 of 79,13 of 15,7 of 8,18 of 20,7 of 9,41 of 61,22 of 82,6 of 7,9 of 9,14 of 16,5 of 5,3 of 4,0 of 1,0,3,0,0,6:03,1:42,W,Decision - Split,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/57d05d28e3fbee4f
Tim Boetsch,Antonio Carlos Junior,0,0,13 of 24,35 of 52,7 of 18,31 of 48,4 of 14,23 of 40,1 of 2,4 of 4,2 of 2,4 of 4,7 of 18,20 of 34,0 of 0,2 of 2,0 of 0,9 of 12,0 of 0,1 of 2,0,1,0,0,0:05,1:30,L,Submission,1,4:28,Herb Dean,http://ufcstats.com/fight-details/5164f1c4103616fd
Muslim Salikhov,Ricky Rainey,1,0,26 of 49,21 of 46,25 of 48,19 of 44,10 of 32,6 of 26,8 of 8,6 of 7,7 of 8,7 of 11,22 of 44,15 of 34,0 of 1,4 of 10,3 of 3,0 of 0,0 of 2,0 of 1,0,0,0,0,0:20,0:05,W,KO/TKO,2,4:12,Chris Tognoni,http://ufcstats.com/fight-details/17c53d93d549cb03
Wilson Reis,John Moraga,0,0,61 of 127,69 of 116,12 of 61,46 of 91,6 of 52,30 of 73,1 of 4,12 of 14,5 of 5,4 of 4,12 of 61,34 of 76,0 of 0,6 of 7,0 of 0,6 of 8,8 of 16,0 of 0,0,1,0,2,7:43,0:42,L,Decision - Unanimous,3,5:00,Nic Jones,http://ufcstats.com/fight-details/15aee8ad5d9e9d58
Krzysztof Jotko,Brad Tavares,0,1,40 of 90,62 of 115,24 of 74,46 of 96,18 of 62,23 of 64,3 of 6,6 of 15,3 of 6,17 of 17,13 of 55,33 of 76,11 of 19,7 of 10,0 of 0,6 of 10,0 of 3,0 of 1,0,0,0,0,0:45,2:32,L,KO/TKO,3,2:16,Al Guinee,http://ufcstats.com/fight-details/01c9acf719298187
Gilbert Burns,Dan Moret,1,0,39 of 74,20 of 58,31 of 65,20 of 58,22 of 55,10 of 43,8 of 9,4 of 9,1 of 1,6 of 6,28 of 57,19 of 57,1 of 2,1 of 1,2 of 6,0 of 0,2 of 2,0 of 0,0,0,0,0,1:24,0:00,W,KO/TKO,2,0:59,Nic Jones,http://ufcstats.com/fight-details/59363451049c929d
Shana Dobson,Lauren Mueller,0,0,74 of 213,70 of 171,68 of 206,58 of 156,34 of 158,31 of 119,23 of 36,20 of 29,11 of 12,7 of 8,62 of 198,54 of 147,6 of 8,4 of 7,0 of 0,0 of 2,1 of 4,2 of 2,0,0,0,0,0:44,2:48,L,Decision - Unanimous,3,5:00,,http://ufcstats.com/fight-details/85060e6e71ed14e4
Dhiego Lima,Yushin Okami,0,0,17 of 31,57 of 66,11 of 24,15 of 19,6 of 16,14 of 18,3 of 6,0 of 0,2 of 2,1 of 1,6 of 19,2 of 3,3 of 3,0 of 0,2 of 2,13 of 16,0 of 0,6 of 13,0,0,0,0,0:05,12:30,L,Decision - Unanimous,3,5:00,Nic Jones,http://ufcstats.com/fight-details/418a7100e490e791
Arjan Bhullar,Adam Wieczorek,0,0,42 of 60,14 of 28,9 of 18,13 of 27,9 of 18,2 of 14,0 of 0,4 of 6,0 of 0,7 of 7,5 of 11,10 of 22,1 of 1,1 of 1,3 of 6,2 of 4,2 of 3,0 of 0,0,1,0,0,5:18,0:00,L,Submission,2,1:59,Al Guinee,http://ufcstats.com/fight-details/47fc0736929125bd
Matthew Lopez,Alejandro Perez,0,0,32 of 47,81 of 142,22 of 36,44 of 100,14 of 28,27 of 79,7 of 7,8 of 8,1 of 1,9 of 13,19 of 33,39 of 92,1 of 1,5 of 8,2 of 2,0 of 0,3 of 7,0 of 1,2,0,0,0,3:06,0:28,L,KO/TKO,2,3:42,Nic Jones,http://ufcstats.com/fight-details/bd1e01de1f24962b
Luke Sanders,Patrick Williams,1,0,62 of 143,68 of 117,59 of 140,61 of 109,44 of 121,15 of 56,13 of 16,15 of 20,2 of 3,31 of 33,44 of 119,53 of 94,13 of 19,8 of 15,2 of 2,0 of 0,0 of 0,1 of 5,0,0,0,0,1:19,0:55,W,Decision - Unanimous,3,5:00,Al Guinee,http://ufcstats.com/fight-details/4210f9b11debf1fc
Khabib Nurmagomedov,Al Iaquinta,0,0,172 of 352,43 of 143,134 of 304,41 of 141,122 of 287,27 of 117,7 of 12,11 of 20,5 of 5,3 of 4,100 of 255,41 of 141,0 of 0,0 of 0,34 of 49,0 of 0,6 of 15,0 of 1,1,0,0,0,10:33,0:00,W,Decision - Unanimous,5,5:00,Dan Miragliotta,http://ufcstats.com/fight-details/eab7b76e177e1903
Rose Namajunas,Joanna Jedrzejczyk,0,0,108 of 304,160 of 372,105 of 301,145 of 356,85 of 270,64 of 257,15 of 24,27 of 37,5 of 7,54 of 62,105 of 301,135 of 342,0 of 0,10 of 14,0 of 0,0 of 0,1 of 2,0 of 0,0,0,0,0,0:56,0:00,W,Decision - Unanimous,5,5:00,Keith Peterson,http://ufcstats.com/fight-details/829b3ee4145a1ae6
Renato Moicano,Calvin Kattar,0,0,117 of 207,41 of 140,116 of 206,41 of 140,60 of 133,35 of 131,18 of 27,5 of 8,38 of 46,1 of 1,115 of 205,41 of 140,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,0 of 2,0,0,0,0,0:00,0:01,W,Decision - Unanimous,3,5:00,Todd Ronald Anderson,http://ufcstats.com/fight-details/95edc0b6438f2592
Zabit Magomedsharipov,Kyle Bochniak,0,0,114 of 237,44 of 164,97 of 217,43 of 163,75 of 188,34 of 149,11 of 14,9 of 13,11 of 15,0 of 1,89 of 207,42 of 162,1 of 2,1 of 1,7 of 8,0 of 0,5 of 11,0 of 2,0,0,0,0,3:48,0:40,W,Decision - Unanimous,3,5:00,Rob Hinds,http://ufcstats.com/fight-details/6c5f7f98ec0b6f17
Joe Lauzon,Chris Gruetzemacher,0,0,49 of 138,135 of 203,48 of 137,128 of 196,40 of 125,72 of 135,7 of 10,45 of 50,1 of 2,11 of 11,35 of 113,68 of 118,11 of 22,51 of 65,2 of 2,9 of 13,0 of 2,0 of 0,0,0,0,0,0:00,1:38,L,KO/TKO,2,5:00,Dan Miragliotta,http://ufcstats.com/fight-details/bab65d16fa74fc5b
Karolina Kowalkiewicz,Felice Herrig,0,0,140 of 262,97 of 228,126 of 248,86 of 216,82 of 191,62 of 181,31 of 42,19 of 25,13 of 15,5 of 10,80 of 192,62 of 178,43 of 53,24 of 38,3 of 3,0 of 0,0 of 3,0 of 5,0,0,1,0,1:11,1:45,W,Decision - Split,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/5315bd4542b21c4b
Evan Dunham,Olivier Aubin-Mercier,0,1,4 of 14,13 of 18,4 of 14,13 of 18,4 of 14,9 of 14,0 of 0,4 of 4,0 of 0,0 of 0,3 of 13,3 of 5,1 of 1,8 of 9,0 of 0,2 of 4,0 of 0,0 of 0,0,0,0,0,0:00,0:07,L,KO/TKO,1,0:53,Todd Ronald Anderson,http://ufcstats.com/fight-details/8803935990adafc1
Bec Rawlings,Ashlee Evans-Smith,0,0,89 of 196,121 of 337,88 of 195,116 of 331,46 of 147,81 of 276,14 of 18,20 of 36,28 of 30,15 of 19,82 of 188,101 of 305,6 of 7,14 of 25,0 of 0,1 of 1,0 of 0,1 of 4,0,0,0,0,0:09,0:07,L,Decision - Unanimous,3,5:00,Rob Hinds,http://ufcstats.com/fight-details/28f7ba820350e3a3
Devin Clark,Mike Rodriguez,0,0,167 of 200,66 of 95,50 of 64,40 of 66,30 of 38,17 of 39,12 of 16,21 of 23,8 of 10,2 of 4,17 of 24,11 of 35,19 of 24,27 of 29,14 of 16,2 of 2,7 of 11,0 of 0,0,0,0,0,11:25,0:38,W,Decision - Unanimous,3,5:00,Dan Miragliotta,http://ufcstats.com/fight-details/12563423bf15e75d
Fabricio Werdum,Alexander Volkov,0,1,83 of 130,96 of 144,48 of 88,48 of 90,30 of 66,37 of 75,12 of 14,8 of 11,6 of 8,3 of 4,22 of 41,32 of 71,1 of 2,3 of 5,25 of 45,13 of 14,3 of 9,2 of 2,0,0,2,0,6:39,1:46,L,KO/TKO,4,1:38,Marc Goddard,http://ufcstats.com/fight-details/e835e9a4564db497
Jimi Manuwa,Jan Blachowicz,0,1,37 of 110,124 of 219,37 of 110,97 of 191,16 of 79,81 of 171,17 of 23,11 of 15,4 of 8,5 of 5,32 of 104,88 of 178,5 of 6,8 of 12,0 of 0,1 of 1,0 of 2,1 of 6,0,0,0,0,0:02,2:52,L,Decision - Unanimous,3,5:00,Leon Roberts,http://ufcstats.com/fight-details/5f19b0135414b454
Tom Duquesnoy,Terrion Ware,0,0,70 of 156,108 of 295,67 of 153,85 of 267,28 of 104,60 of 234,8 of 18,15 of 21,31 of 31,10 of 12,66 of 150,71 of 248,1 of 3,6 of 10,0 of 0,8 of 9,0 of 3,2 of 6,0,0,0,0,0:05,1:28,W,Decision - Unanimous,3,5:00,Grant Waterman,http://ufcstats.com/fight-details/848e7af760788418
Leon Edwards,Peter Sobotta,1,0,71 of 117,57 of 90,42 of 86,16 of 43,37 of 78,8 of 34,5 of 6,3 of 4,0 of 2,5 of 5,16 of 50,15 of 42,1 of 1,1 of 1,25 of 35,0 of 0,1 of 2,1 of 4,0,0,1,0,8:21,1:04,W,KO/TKO,3,4:59,Rich Mitchell,http://ufcstats.com/fight-details/e84fa12d87993ec5
John Phillips,Charles Byrd,0,0,1 of 2,34 of 41,0 of 1,11 of 14,0 of 1,11 of 14,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,0 of 1,0 of 0,0 of 0,0 of 0,11 of 13,0 of 0,1 of 1,0,1,0,0,0:00,3:53,L,Submission,1,3:58,Marc Goddard,http://ufcstats.com/fight-details/f8ee14dbf966b9e6
Danny Roberts,Oliver Enkamp,1,0,4 of 10,8 of 14,4 of 10,7 of 12,2 of 8,1 of 4,1 of 1,1 of 1,1 of 1,5 of 7,3 of 8,5 of 10,0 of 1,2 of 2,1 of 1,0 of 0,0 of 0,0 of 1,0,0,0,0,0:02,0:24,W,KO/TKO,1,2:12,Leon Roberts,http://ufcstats.com/fight-details/288c942b0ad152a6
Danny Henry,Hakeem Dawodu,1,0,2 of 5,3 of 3,2 of 5,3 of 3,2 of 4,1 of 1,0 of 1,0 of 0,0 of 0,2 of 2,2 of 4,3 of 3,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,0 of 0,1,0,0,0,0:13,0:00,W,Submission,1,0:39,Rich Mitchell,http://ufcstats.com/fight-details/0b4583d204797d19
Paul Craig,Magomed Ankalaev,0,0,34 of 70,89 of 129,18 of 50,59 of 96,2 of 30,36 of 70,10 of 14,19 of 21,6 of 6,4 of 5,12 of 41,20 of 44,6 of 7,8 of 11,0 of 2,31 of 41,2 of 7,0 of 0,1,0,0,2,1:47,6:42,W,Submission,3,4:59,Marc Goddard,http://ufcstats.com/fight-details/714d6fc1eaca9624
Stevie Ray,Kajan Johnson,0,0,37 of 78,37 of 58,24 of 62,33 of 54,18 of 52,7 of 22,1 of 3,13 of 16,5 of 7,13 of 16,16 of 51,24 of 42,1 of 2,0 of 1,7 of 9,9 of 11,3 of 4,2 of 4,1,0,0,0,1:40,4:14,L,Decision - Split,3,5:00,Leon Roberts,http://ufcstats.com/fight-details/fe9ee00fa47dd7b3
Mark Godbeer,Dmitry Sosnovskiy,0,0,73 of 91,53 of 71,24 of 37,28 of 40,11 of 24,22 of 32,12 of 12,5 of 7,1 of 1,1 of 1,7 of 17,10 of 18,3 of 4,5 of 8,14 of 16,13 of 14,0 of 1,2 of 3,0,2,1,1,3:29,4:15,L,Submission,2,4:29,Grant Waterman,http://ufcstats.com/fight-details/2fd0c6d914b77205
Cristiane Justino,Yana Santos,0,0,42 of 54,17 of 24,33 of 43,5 of 11,22 of 31,2 of 4,11 of 12,1 of 5,0 of 0,2 of 2,10 of 13,3 of 9,8 of 8,1 of 1,15 of 22,1 of 1,1 of 1,1 of 4,0,0,0,0,0:21,2:21,W,KO/TKO,1,3:25,Herb Dean,http://ufcstats.com/fight-details/4960379abe6ed525
